diagnosis_code,diagnosis_desc,fce,admissions,emergency,waiting_list,mean_los_days,mean_age,year,baseline_admissions,baseline_waiting,pct_change_admissions,pct_change_waiting,backlog_trap
C45-C49,Malignant neoplasms of mesothelial and soft tissue,11916,11916,2346,4243,7.9,50,1999,23035,7390,-48.27002388,-42.58457375,FALSE
C51-C58,Malignant neoplasms of female genital organs,54641,54641,6907,22920,7.7,60,1999,69426,28271,-21.29605623,-18.9275229,FALSE
C60-C63,Malignant neoplasms of male genital organs,44272,44272,8411,18585,8.6,66,1999,88825,48164,-50.15817619,-61.41308861,FALSE
C64-C68,Malignant neoplasms of urinary tract,93699,93699,7187,47682,6.7,69,1999,90988,49193,2.979513782,-3.071575224,FALSE
C69-C72,"Malignant neoplasms of eye, brain & other parts of CNS",17519,17519,4660,4052,11.9,40,1999,21270,6187,-17.6351669,-34.50783902,FALSE
C81-C96,"Malignant neoplasms of lymphoid, haematopoietic & rel. tiss.",205786,205786,25700,78231,9.5,52,1999,387191,80770,-46.85155388,-3.143493871,FALSE
D00-D48,In situ & benign neoplasms and others of uncertainty,284061,284061,14865,218690,5.2,53,1999,430698,299287,-34.04636195,-26.92966951,FALSE
D50-D64,Anaemias,112795,112795,32664,41480,7.1,57,1999,299823,136373,-62.37947055,-69.58342194,FALSE
D65-D89,Diseases of the blood and blood-forming organs,48988,48988,13992,18254,5.2,41,1999,94222,20255,-48.00789625,-9.879042212,FALSE
E00-E07,Disorders of thyroid gland,11135,11135,2115,7194,6.3,51,1999,16596,10399,-32.9055194,-30.82027118,FALSE
E10-E14,Diabetes Mellitus,72241,72241,30330,24276,10.1,54,1999,56931,4961,26.89220284,389.3368273,FALSE
E15-E90,Endocrine nutritional and metabolic diseases,63616,63616,24293,21174,8.8,45,1999,236419,51871,-73.09184118,-59.179503,FALSE
F00-F03,Dementia,29637,29637,13816,2791,72.7,80,1999,10270,332,188.5783836,740.6626506,FALSE
F04-F09,Other organic including symptomatic mental disorders,4856,4856,3118,258,47,69,1999,23314,2250,-79.17131337,-88.53333333,FALSE
F10-F19,Mental and behavioural disorders due to psychoactive subst.,42327,42327,29537,5528,11.3,38,1999,50997,753,-17.00100006,634.1301461,FALSE
F20-F29,"Schizophrenia, schizotypal and delusional disorders",36806,36806,25091,1603,105.4,41,1999,24319,1107,51.34668366,44.80578139,FALSE
F30-F39,Mood [affective] disorders,54515,54515,38184,2954,45.4,52,1999,23171,1137,135.2725389,159.8065084,FALSE
F40-F69,"Neurotic, bahavioural & personality disorders",30418,30418,19714,3911,26.9,42,1999,,,,,FALSE
F70-F79,Mental retardation,19379,19379,1960,7018,97.5,22,1999,623,65,3010.5939,10696.92308,FALSE
F80-F99,Other mental and behavioural disorders,12840,12840,4735,2680,47.9,36,1999,4935,1402,160.1823708,91.15549215,FALSE
G00-G09,Inflammatory diseases of the central nervous system,4498,4498,2508,349,13.7,29,1999,7120,708,-36.8258427,-50.70621469,FALSE
G20-G26,Extrapyramidal & movement disorders (incl. Parkinsonism).,14444,14444,5541,4601,24.2,67,1999,15816,4500,-8.674759737,2.244444444,FALSE
G35-G37,Demyelinating diseases (incl Multiple Sclerosis) of the CNS.,17834,17834,3967,7869,14.2,45,1999,49768,13001,-64.16572898,-39.47388662,FALSE
G40-G47,Epilepsy migraine & other episodic disorders,137682,137682,56982,59798,4.7,50,1999,,,,,FALSE
G80-G83,Cerebral palsy & other paralytic syndromes,18389,18389,5341,4193,33.4,47,1999,13889,5162,32.3997408,-18.77179388,FALSE
H10-H13,Disorders of conjunctiva (including conjunctivitis),4341,4341,1033,3109,2.1,45,1999,5956,4018,-27.11551377,-22.62319562,FALSE
